NaiveBayes	ant-1-2006-study1And2	0.779	
NaiveBayes	ant-1-2007-study1And2	0.436	
NaiveBayes	ant-1-2008-study1And2	0.599	
NaiveBayes	ant-1-2009-study1And2	0.596	
NaiveBayes	ant-1-2010-study1And2	0.704	
NaiveBayes	ant-1-2011-study1And2	0.000	
NaiveBayes	ant-1-2012-study1And2	0.515	
NaiveBayes	ant-2-2006-study1And2	0.367	
NaiveBayes	ant-2-2007-study1And2	0.411	
NaiveBayes	ant-2-2008-study1And2	0.302	
NaiveBayes	ant-2-2009-study1And2	0.600	
NaiveBayes	ant-2-2010-study1And2	0.519	
NaiveBayes	ant-2-2011-study1And2	0.392	
NaiveBayes	ant-2-2012-study1And2	0.447	
NaiveBayes	camel-1-2008-study1And2	0.613	
NaiveBayes	camel-1-2009-study1And2	0.612	
NaiveBayes	camel-1-2010-study1And2	0.583	
NaiveBayes	camel-1-2011-study1And2	0.559	
NaiveBayes	camel-1-2012-study1And2	0.607	
NaiveBayes	camel-2-2008-study1And2	0.730	
NaiveBayes	camel-2-2009-study1And2	0.557	
NaiveBayes	camel-2-2010-study1And2	0.537	
NaiveBayes	camel-2-2011-study1And2	0.619	
NaiveBayes	camel-2-2012-study1And2	0.590	
NaiveBayes	cassandra-1-2010-study1And2	0.731	
NaiveBayes	cassandra-1-2011-study1And2	0.658	
NaiveBayes	cassandra-1-2012-study1And2	0.707	
NaiveBayes	cassandra-2-2010-study1And2	0.747	
NaiveBayes	cassandra-2-2011-study1And2	0.687	
NaiveBayes	cassandra-2-2012-study1And2	0.769	
NaiveBayes	cxf-1-2006-study1And2	0.733	
NaiveBayes	cxf-1-2007-study1And2	0.489	
NaiveBayes	cxf-1-2008-study1And2	0.623	
NaiveBayes	cxf-1-2009-study1And2	0.586	
NaiveBayes	cxf-1-2010-study1And2	0.524	
NaiveBayes	cxf-1-2011-study1And2	0.636	
NaiveBayes	cxf-1-2012-study1And2	0.611	
NaiveBayes	cxf-2-2006-study1And2	0.531	
NaiveBayes	cxf-2-2007-study1And2	0.588	
NaiveBayes	cxf-2-2008-study1And2	0.683	
NaiveBayes	cxf-2-2009-study1And2	0.456	
NaiveBayes	cxf-2-2010-study1And2	0.739	
NaiveBayes	cxf-2-2011-study1And2	0.664	
NaiveBayes	cxf-2-2012-study1And2	0.685	
NaiveBayes	derby-1-2006-study1And2	0.884	
NaiveBayes	derby-1-2007-study1And2	0.519	
NaiveBayes	derby-1-2008-study1And2	0.452	
NaiveBayes	derby-1-2009-study1And2	0.453	
NaiveBayes	derby-1-2010-study1And2	0.560	
NaiveBayes	derby-1-2011-study1And2	0.489	
NaiveBayes	derby-1-2012-study1And2	0.332	
NaiveBayes	derby-2-2006-study1And2	0.478	
NaiveBayes	derby-2-2007-study1And2	0.605	
NaiveBayes	derby-2-2008-study1And2	0.518	
NaiveBayes	derby-2-2009-study1And2	0.497	
NaiveBayes	derby-2-2010-study1And2	0.550	
NaiveBayes	derby-2-2011-study1And2	0.414	
NaiveBayes	derby-2-2012-study1And2	0.379	
NaiveBayes	hadoop-1-2009-study1And2	0.494	
NaiveBayes	hadoop-1-2010-study1And2	0.542	
NaiveBayes	hadoop-1-2011-study1And2	0.957	
NaiveBayes	hadoop-1-2012-study1And2	0.641	
NaiveBayes	hadoop-2-2009-study1And2	0.472	
NaiveBayes	hadoop-2-2010-study1And2	0.813	
NaiveBayes	hadoop-2-2011-study1And2	0.444	
NaiveBayes	hadoop-2-2012-study1And2	0.589	
NaiveBayes	httpd-1-2005-study1And2	0.550	
NaiveBayes	httpd-1-2006-study1And2	0.996	
NaiveBayes	httpd-1-2008-study1And2	0.450	
NaiveBayes	httpd-1-2009-study1And2	0.519	
NaiveBayes	httpd-1-2010-study1And2	0.609	
NaiveBayes	httpd-1-2011-study1And2	0.807	
NaiveBayes	httpd-1-2012-study1And2	0.539	
NaiveBayes	httpd-2-2005-study1And2	1.000	
NaiveBayes	httpd-2-2006-study1And2	0.235	
NaiveBayes	httpd-2-2007-study1And2	0.697	
NaiveBayes	httpd-2-2008-study1And2	0.494	
NaiveBayes	httpd-2-2009-study1And2	0.673	
NaiveBayes	httpd-2-2010-study1And2	0.592	
NaiveBayes	httpd-2-2011-study1And2	0.668	
NaiveBayes	httpd-2-2012-study1And2	0.657	
NaiveBayes	jmeter-1-2003-study1And2	0.766	
NaiveBayes	jmeter-1-2004-study1And2	0.515	
NaiveBayes	jmeter-1-2005-study1And2	0.773	
NaiveBayes	jmeter-1-2006-study1And2	0.330	
NaiveBayes	jmeter-1-2007-study1And2	0.532	
NaiveBayes	jmeter-1-2008-study1And2	0.478	
NaiveBayes	jmeter-1-2009-study1And2	0.377	
NaiveBayes	jmeter-1-2010-study1And2	0.452	
NaiveBayes	jmeter-1-2011-study1And2	0.650	
NaiveBayes	jmeter-1-2012-study1And2	0.505	
NaiveBayes	jmeter-2-2003-study1And2	0.732	
NaiveBayes	jmeter-2-2004-study1And2	0.601	
NaiveBayes	jmeter-2-2005-study1And2	0.437	
NaiveBayes	jmeter-2-2006-study1And2	0.985	
NaiveBayes	jmeter-2-2007-study1And2	0.548	
NaiveBayes	jmeter-2-2008-study1And2	0.385	
NaiveBayes	jmeter-2-2009-study1And2	0.491	
NaiveBayes	jmeter-2-2010-study1And2	0.544	
NaiveBayes	jmeter-2-2011-study1And2	0.381	
NaiveBayes	jmeter-2-2012-study1And2	0.323	
NaiveBayes	mahout-1-2010-study1And2	0.618	
NaiveBayes	mahout-1-2011-study1And2	0.551	
NaiveBayes	mahout-1-2012-study1And2	0.293	
NaiveBayes	mahout-2-2010-study1And2	0.550	
NaiveBayes	mahout-2-2011-study1And2	0.507	
NaiveBayes	mahout-2-2012-study1And2	0.700	
NaiveBayes	maven2-1-2006-study1And2	0.750	
NaiveBayes	maven2-1-2007-study1And2	0.661	
NaiveBayes	maven2-1-2008-study1And2	0.766	
NaiveBayes	maven2-1-2009-study1And2	0.810	
NaiveBayes	maven2-2-2006-study1And2	0.916	
NaiveBayes	maven2-2-2007-study1And2	0.761	
NaiveBayes	maven2-2-2008-study1And2	0.821	
NaiveBayes	maven2-2-2009-study1And2	0.000	
NaiveBayes	openjpa-1-2007-study1And2	0.440	
NaiveBayes	openjpa-1-2008-study1And2	0.572	
NaiveBayes	openjpa-1-2009-study1And2	0.610	
NaiveBayes	openjpa-1-2010-study1And2	0.545	
NaiveBayes	openjpa-1-2011-study1And2	0.552	
NaiveBayes	openjpa-1-2012-study1And2	0.324	
NaiveBayes	openjpa-2-2007-study1And2	0.474	
NaiveBayes	openjpa-2-2008-study1And2	0.664	
NaiveBayes	openjpa-2-2009-study1And2	0.490	
NaiveBayes	openjpa-2-2010-study1And2	0.392	
NaiveBayes	openjpa-2-2011-study1And2	0.497	
NaiveBayes	openjpa-2-2012-study1And2	0.485	
NaiveBayes	solr-1-2007-study1And2	0.558	
NaiveBayes	solr-1-2008-study1And2	0.702	
NaiveBayes	solr-1-2009-study1And2	0.564	
NaiveBayes	solr-1-2010-study1And2	0.000	
NaiveBayes	solr-2-2007-study1And2	0.533	
NaiveBayes	solr-2-2008-study1And2	0.498	
NaiveBayes	solr-2-2009-study1And2	0.943	
NaiveBayes	tomcat-1-2006-study1And2	0.682	
NaiveBayes	tomcat-1-2007-study1And2	0.589	
NaiveBayes	tomcat-1-2008-study1And2	0.585	
NaiveBayes	tomcat-1-2009-study1And2	0.624	
NaiveBayes	tomcat-1-2010-study1And2	0.593	
NaiveBayes	tomcat-1-2011-study1And2	0.682	
