ALL	ant-1-2006-study1And2	0.78						
ALL	ant-1-2007-study1And2	0.24						
ALL	ant-1-2008-study1And2	0.51						
ALL	ant-1-2009-study1And2	0.28						
ALL	ant-1-2010-study1And2	0.49						
ALL	ant-1-2011-study1And2	0.00						
ALL	ant-1-2012-study1And2	0.40						
ALL	ant-2-2006-study1And2	0.24						
ALL	ant-2-2007-study1And2	0.04						
ALL	ant-2-2008-study1And2	0.08						
ALL	ant-2-2009-study1And2	0.32						
ALL	ant-2-2010-study1And2	0.63						
ALL	ant-2-2011-study1And2	0.19						
ALL	ant-2-2012-study1And2	0.62						
ALL	camel-1-2008-study1And2	0.32						
ALL	camel-1-2009-study1And2	0.53						
ALL	camel-1-2010-study1And2	0.39						
ALL	camel-1-2011-study1And2	0.40						
ALL	camel-1-2012-study1And2	0.52						
ALL	camel-2-2008-study1And2	0.36						
ALL	camel-2-2009-study1And2	0.37						
ALL	camel-2-2010-study1And2	0.66						
ALL	camel-2-2011-study1And2	0.45						
ALL	camel-2-2012-study1And2	0.48						
ALL	cassandra-1-2010-study1And2	0.61						
ALL	cassandra-1-2011-study1And2	0.48						
ALL	cassandra-1-2012-study1And2	0.42						
ALL	cassandra-2-2010-study1And2	0.43						
ALL	cassandra-2-2011-study1And2	0.63						
ALL	cassandra-2-2012-study1And2	0.27						
ALL	cxf-1-2006-study1And2	0.99						
ALL	cxf-1-2007-study1And2	0.44						
ALL	cxf-1-2008-study1And2	0.52						
ALL	cxf-1-2009-study1And2	0.46						
ALL	cxf-1-2010-study1And2	0.37						
ALL	cxf-1-2011-study1And2	0.49						
ALL	cxf-1-2012-study1And2	0.47						
ALL	cxf-2-2006-study1And2	0.70						
ALL	cxf-2-2007-study1And2	0.45						
ALL	cxf-2-2008-study1And2	0.42						
ALL	cxf-2-2009-study1And2	0.44						
ALL	cxf-2-2010-study1And2	0.46						
ALL	cxf-2-2011-study1And2	0.55						
ALL	cxf-2-2012-study1And2	0.45						
ALL	derby-1-2006-study1And2	0.21						
ALL	derby-1-2007-study1And2	0.34						
ALL	derby-1-2008-study1And2	0.29						
ALL	derby-1-2009-study1And2	0.34						
ALL	derby-1-2010-study1And2	0.37						
ALL	derby-1-2011-study1And2	0.20						
ALL	derby-1-2012-study1And2	0.21						
ALL	derby-2-2006-study1And2	0.39						
ALL	derby-2-2007-study1And2	0.38						
ALL	derby-2-2008-study1And2	0.40						
ALL	derby-2-2009-study1And2	0.22						
ALL	derby-2-2010-study1And2	0.30						
ALL	derby-2-2011-study1And2	0.16						
ALL	derby-2-2012-study1And2	0.15						
ALL	hadoop-1-2009-study1And2	0.57						
ALL	hadoop-1-2010-study1And2	0.43						
ALL	hadoop-1-2011-study1And2	0.97						
ALL	hadoop-1-2012-study1And2	0.64						
ALL	hadoop-2-2009-study1And2	0.38						
ALL	hadoop-2-2010-study1And2	0.00						
ALL	hadoop-2-2011-study1And2	0.58						
ALL	hadoop-2-2012-study1And2	0.50						
ALL	httpd-1-2005-study1And2	0.51						
ALL	httpd-1-2006-study1And2	0.00						
ALL	httpd-1-2008-study1And2	0.03						
ALL	httpd-1-2009-study1And2	0.27						
ALL	httpd-1-2010-study1And2	0.05						
ALL	httpd-1-2011-study1And2	0.04						
ALL	httpd-1-2012-study1And2	0.30						
ALL	httpd-2-2005-study1And2	0.00						
ALL	httpd-2-2006-study1And2	0.04						
ALL	httpd-2-2007-study1And2	0.19						
ALL	httpd-2-2008-study1And2	0.22						
ALL	httpd-2-2009-study1And2	0.49						
ALL	httpd-2-2010-study1And2	0.13						
ALL	httpd-2-2011-study1And2	0.00						
ALL	httpd-2-2012-study1And2	0.49						
ALL	jmeter-1-2003-study1And2	0.51						
ALL	jmeter-1-2004-study1And2	0.32						
ALL	jmeter-1-2005-study1And2	0.00						
ALL	jmeter-1-2006-study1And2	0.40						
ALL	jmeter-1-2007-study1And2	0.45						
ALL	jmeter-1-2008-study1And2	0.27						
ALL	jmeter-1-2009-study1And2	0.19						
ALL	jmeter-1-2010-study1And2	0.16						
ALL	jmeter-1-2011-study1And2	0.19						
ALL	jmeter-1-2012-study1And2	0.48						
ALL	jmeter-2-2003-study1And2	0.48						
ALL	jmeter-2-2004-study1And2	0.37						
ALL	jmeter-2-2005-study1And2	0.38						
ALL	jmeter-2-2006-study1And2	0.00						
ALL	jmeter-2-2007-study1And2	0.28						
ALL	jmeter-2-2008-study1And2	0.20						
ALL	jmeter-2-2009-study1And2	0.36						
ALL	jmeter-2-2010-study1And2	0.39						
ALL	jmeter-2-2011-study1And2	0.18						
ALL	jmeter-2-2012-study1And2	0.14						
ALL	mahout-1-2010-study1And2	0.49						
ALL	mahout-1-2011-study1And2	0.36						
ALL	mahout-1-2012-study1And2	0.18						
ALL	mahout-2-2010-study1And2	0.42						
ALL	mahout-2-2011-study1And2	0.38						
ALL	mahout-2-2012-study1And2	0.16						
ALL	maven2-1-2006-study1And2	0.67						
ALL	maven2-1-2007-study1And2	0.58						
ALL	maven2-1-2008-study1And2	0.67						
ALL	maven2-1-2009-study1And2	0.53						
ALL	maven2-2-2006-study1And2	0.89						
ALL	maven2-2-2007-study1And2	0.46						
ALL	maven2-2-2008-study1And2	0.64						
ALL	maven2-2-2009-study1And2	0.00						
ALL	openjpa-1-2007-study1And2	0.39						
ALL	openjpa-1-2008-study1And2	0.51						
ALL	openjpa-1-2009-study1And2	0.53						
ALL	openjpa-1-2010-study1And2	0.43						
ALL	openjpa-1-2011-study1And2	0.35						
ALL	openjpa-1-2012-study1And2	0.23						
ALL	openjpa-2-2007-study1And2	0.36						
ALL	openjpa-2-2008-study1And2	0.54						
ALL	openjpa-2-2009-study1And2	0.57						
ALL	openjpa-2-2010-study1And2	0.42						
ALL	openjpa-2-2011-study1And2	0.33						
ALL	openjpa-2-2012-study1And2	0.50						
ALL	solr-1-2007-study1And2	0.38						
ALL	solr-1-2008-study1And2	0.47						
ALL	solr-1-2009-study1And2	0.23						
ALL	solr-1-2010-study1And2	0.00						
ALL	solr-2-2007-study1And2	0.32						
ALL	solr-2-2008-study1And2	0.43						
